"RECURSOS FEDERAIS",,,,,TOTAL,576372448.5299999,498607887.2299992,457486196.5199996
"UNIDADE GESTORA EXECUTORA",EMPENHO,"FONTE DETALHADA",AÇÃO,SUBAÇÃO,OBJETO,EMPENHADO,LIQUIDADO,PAGO
"610601-DISTRITO ESTADUAL DE FERNANDO DE NORONHA",2021NE000401,"0144530002-RECURSOS FUNDO A FUNDO SUS BLOCO CUSTEIO PARA COVID19","3649-AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE PRESTADOS PELO DISTRITO ESTADUAL DE FERNANDO DE NORONHA - DEFN","0000-OUTRAS MEDIDAS","DESPESA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE VETERINARIO",27000,10800,10800
"610601-DISTRITO ESTADUAL DE FERNANDO DE NORONHA",2021NE000402,"0144530002-RECURSOS FUNDO A FUNDO SUS BLOCO CUSTEIO PARA COVID19","3649-AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE PRESTADOS PELO DISTRITO ESTADUAL DE FERNANDO DE NORONHA - DEFN","0000-OUTRAS MEDIDAS","DESPESA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE ENFERMAGEM",7200,7200,7200
"610601-DISTRITO ESTADUAL DE FERNANDO DE NORONHA",2021NE000404,"0144530002-RECURSOS FUNDO A FUNDO SUS BLOCO CUSTEIO PARA COVID19","3649-AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE PRESTADOS PELO DISTRITO ESTADUAL DE FERNANDO DE NORONHA - DEFN","0000-OUTRAS MEDIDAS","DESPESA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE TEC DE ENFERMAGEM",13200,5280,5279.999999999999
"610601-DISTRITO ESTADUAL DE FERNANDO DE NORONHA",2021NE000405,"0144530002-RECURSOS FUNDO A FUNDO SUS BLOCO CUSTEIO PARA COVID19","3649-AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE PRESTADOS PELO DISTRITO ESTADUAL DE FERNANDO DE NORONHA - DEFN","0000-OUTRAS MEDIDAS","DESPESA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE ENFERMAGEM",24000,9600,9600
"610601-DISTRITO ESTADUAL DE FERNANDO DE NORONHA",2021NE000406,"0144530002-RECURSOS FUNDO A FUNDO SUS BLOCO CUSTEIO PARA COVID19","3649-AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE PRESTADOS PELO DISTRITO ESTADUAL DE FERNANDO DE NORONHA - DEFN","0000-OUTRAS MEDIDAS","DESPESA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE MEDICO VETERINARIO",27000,10800,10800
"610601-DISTRITO ESTADUAL DE FERNANDO DE NORONHA",2021NE000407,"0144530002-RECURSOS FUNDO A FUNDO SUS BLOCO CUSTEIO PARA COVID19","3649-AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE PRESTADOS PELO DISTRITO ESTADUAL DE FERNANDO DE NORONHA - DEFN","0000-OUTRAS MEDIDAS","DESPESA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE MEDICINA",54000,31200,31200
"610601-DISTRITO ESTADUAL DE FERNANDO DE NORONHA",2021NE000408,"0144530002-RECURSOS FUNDO A FUNDO SUS BLOCO CUSTEIO PARA COVID19","3649-AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE PRESTADOS PELO DISTRITO ESTADUAL DE FERNANDO DE NORONHA - DEFN","0000-OUTRAS MEDIDAS","DESPESA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE APOIO A VIG DE SAUDE",11000,4400,4400
"610601-DISTRITO ESTADUAL DE FERNANDO DE NORONHA",2021NE000409,"0144530002-RECURSOS FUNDO A FUNDO SUS BLOCO CUSTEIO PARA COVID19","3649-AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE PRESTADOS PELO DISTRITO ESTADUAL DE FERNANDO DE NORONHA - DEFN","0000-OUTRAS MEDIDAS","DESPESA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE TEC DE ENFERMAGEM",13200,5280,5279.999999999999
"610601-DISTRITO ESTADUAL DE FERNANDO DE NORONHA",2021NE000410,"0144530002-RECURSOS FUNDO A FUNDO SUS BLOCO CUSTEIO PARA COVID19","3649-AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE PRESTADOS PELO DISTRITO ESTADUAL DE FERNANDO DE NORONHA - DEFN","0000-OUTRAS MEDIDAS","DESPESA REFERENTE A PRESTAÇÃO DE SERVIÇOS DE APOIO A VIGILANCIA DE SAUDE",11000,4400,4400
