"RELATÓRIO DE INSERÇÕES PUBLICITÁRIAS PLANEJADAS ",,,,,,,,,,,,,,,,,,,,,,,,,
"Ações de Publicidade - COVID-19",,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: sistema GestãoSecomGer - maio/21",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Meio,"Nom Veic","CNPJ Veic","Cidade sede ",Agencia,"Nom ação","Num ação","Dat Início Veic.","Dat Fim Veic",Moeda,"Vlr Receb Veic",Grupo,Editora,"Status ação",Conformidade,Programa,"Fx Horária",Rubrica,Formato,"Qtd Ins","Ano Ação","Tipo TV","Tip Midia Exterior","Tip Midia Exterior Digital","Vlr Remuneração Agência",Abrangencia
Internet,AMERICANAS.COM,00.776.574/0001-56,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/11,2020/11/27,Real,8769.91,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",BANNER,393426,2020,-,,,0,Nacional
Internet,AMERICANAS.COM,00.776.574/0001-56,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/12,2020/11/26,Real,1437.05,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",BANNER,766457,2020,-,,,0,Nacional
Internet,AMERICANAS.COM,00.776.574/0001-56,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",BANNER,1409360,2020,-,,,0,Nacional
Internet,AMERICANAS.COM,00.776.574/0001-56,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",BANNER,590640,2020,-,,,0,Nacional
Internet,CITTAMOBI,10.237.278/0001-30,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,24999.98,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",BANNER,868055,2020,-,,,0,Nacional
Internet,CITTAMOBI,10.237.278/0001-30,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/17,2020/11/30,Real,24999.96,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",BANNER,1388887,2020,-,,,0,Nacional
Internet,CITTAMOBI,10.237.278/0001-30,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",BANNER,868055,2020,-,,,0,Nacional
Internet,CITTAMOBI,10.237.278/0001-30,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",BANNER,1388887,2020,-,,,0,Nacional
Internet,CITTAMOBI,10.237.278/0001-30,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",BANNER,868055,2020,-,,,0,Nacional
Internet,CITTAMOBI,10.237.278/0001-30,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/17,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",BANNER,1388887,2020,-,,,0,Nacional
Internet,"CLARO DATA REWARDS",40.432.544/0001-47,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,77769,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",VIDEO,388845,2020,-,,,0,Nacional
Internet,"CLARO DATA REWARDS",40.432.544/0001-47,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/12/29,2020/12/31,Real,20487.65,,,"Mídia Conforme",2020/12/28,," - ","Utilidade Pública",VIDEO,103473,2020,-,,,0,Nacional
Internet,"CLARO DATA REWARDS",40.432.544/0001-47,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/12/25,2020/12/31,Real,0,,,"Mídia Conforme",2020/12/28,," - ","Utilidade Pública",VIDEO,242424,2020,-,,,0,Nacional
Internet,DEEZER,18.111.886/0001-06,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/09,2020/11/30,Real,49999.95,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",VIDEO,714285,2020,-,,,0,Nacional
Internet,DEEZER,18.111.886/0001-06,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",VIDEO,714285,2020,-,,,0,Nacional
Internet,DEEZER,18.111.886/0001-06,"SP - São Paulo",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/09,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",VIDEO,714285,2020,-,,,0,Nacional
Internet,"DS WIFI",32.864.844/0001-77,"DF - Brasília",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,35720.4,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",VIDEO,5253,2020,-,,,0,Regional
Internet,"DS WIFI",32.864.844/0001-77,"DF - Brasília",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/07,2020/11/30,Real,23324,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",VIDEO,3430,2020,-,,,0,Regional
Internet,"DS WIFI",32.864.844/0001-77,"DF - Brasília",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,23324,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",VIDEO,3430,2020,-,,,0,Regional
Internet,"DS WIFI",32.864.844/0001-77,"DF - Brasília",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/12/28,2020/12/31,Real,1224,,,"Mídia Conforme",2020/12/28,," - ","Utilidade Pública",VIDEO,2880,2020,-,,,0,Regional
Internet,"DS WIFI",32.864.844/0001-77,"DF - Brasília",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/12/28,2020/12/31,Real,1173.85,,,"Mídia Conforme",2020/12/28,," - ","Utilidade Pública",VIDEO,2762,2020,-,,,0,Regional
Internet,"DS WIFI",32.864.844/0001-77,"DF - Brasília",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/12/28,2020/12/31,Real,1076.95,,,"Mídia Conforme",2020/12/28,," - ","Utilidade Pública",VIDEO,2534,2020,-,,,0,Regional
Internet,"DS WIFI",32.864.844/0001-77,"DF - Brasília",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",VIDEO,3430,2020,-,,,0,Regional
Internet,"DS WIFI",32.864.844/0001-77,"DF - Brasília",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",VIDEO,5253,2020,-,,,0,Regional
Internet,"DS WIFI",32.864.844/0001-77,"DF - Brasília",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/11/06,2020/11/30,Real,0,,,"Mídia Conforme",2020/11/06,," - ","Utilidade Pública",VIDEO,3430,2020,-,,,0,Regional
Internet,"DS WIFI",32.864.844/0001-77,"DF - Brasília",CALIA/Y2,"COVID-19 - CUIDADO PRECOCE",20200024,2020/12/25,2020/12/31,Real,0,,,"Mídia Conforme",2020/12/28,," - ","Utilidade Pública",VIDEO,2880,2020,-,,,0,Regional
